OTUs	"SRR17152824"	"SRR17152825"	"SRR17152826"	"SRR17152827"	"SRR17152828"	"SRR17152829"	"SRR17152830"	"SRR17152831"	"SRR17152832"	"SRR17152833"	"SRR17152834"	"SRR17152835"	"SRR17152836"	"SRR17152837"	"SRR17152838"	"SRR17152839"	"SRR17152840"	"SRR17152841"	"SRR17152842"	"SRR17152843"	"SRR17152844"	"SRR17152845"	"SRR17152846"	"SRR17152847"	"SRR17152848"	"SRR17152849"	"SRR17152850"	"SRR17152851"	"SRR17152852"	"SRR17152853"	"SRR17152854"	"SRR17152855"	"SRR17152856"	"SRR17152857"	"SRR17152858"	"SRR17152859"	"SRR17152860"	"SRR17152861"	"SRR17152862"	"SRR6927699"	"SRR6927700"	"SRR6927701"	"SRR6927702"	"SRR6927703"	"SRR6927704"	"SRR6927705"	"SRR6927706"	"SRR6927707"	"SRR6927708"	"SRR6927709"	"SRR6927710"	"SRR6927711"	"SRR6927712"	"SRR6927713"	"SRR6927714"	"SRR6927715"	"SRR6927716"	"SRR6927717"	"SRR6927718"	"SRR6927719"	"SRR6927720"	"SRR6927721"	"SRR6927722"	"SRR6927723"	"SRR6927724"	"SRR6927725"	"SRR6927726"	"SRR6927727"	"SRR6927728"
"OTU_1498"	0	35	34	43	0	0	0	0	0	0	0	23	0	0	24	23	0	0	0	0	0	0	0	0	0	0	0	0	32	0	41	0	0	44	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1499"	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	69	0	36	0	44	29	0	29	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1500"	0	0	0	46	32	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1501"	0	0	0	38	0	0	79	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	68	0	0	0	0	0	0	0	26	0	0	0	0	46	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1502"	0	0	0	28	0	0	0	58	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	35	0	0	0	0	0	0	61	0	0	29	45	0	0	0	0	0	0	24	0
"OTU_1503"	70	22	0	0	0	69	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1504"	21	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	51	0	0	0	54	0	0	0	0	0	0	0	20	0	0	0	59	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0
"OTU_1505"	0	0	0	0	0	0	0	0	0	0	25	128	40	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	40	25	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1506"	32	48	0	17	0	0	21	0	0	0	0	60	57	0	24	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	13	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1507"	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	38	0	0	0	0	67	0
"OTU_1508"	0	29	21	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	66	42	29	0	10	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1509"	0	0	0	37	45	27	0	17	0	0	0	0	0	0	18	0	0	0	73	0	0	0	0	0	28	0	0	0	0	0	0	0	0	43	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1510"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	76	0	0	105	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0
"OTU_1511"	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1512"	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1513"	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	22	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1514"	0	38	49	43	0	0	0	0	0	0	0	20	0	0	22	24	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	43	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1515"	0	22	0	81	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	43	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1516"	0	0	0	0	0	33	20	61	0	0	0	0	68	0	0	0	0	0	16	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	23	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1517"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	170	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	40
"OTU_1518"	0	34	0	16	0	0	45	0	0	0	29	0	0	0	36	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	54	0	0	21	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1519"	0	0	0	62	0	0	0	0	0	0	0	75	0	0	15	0	0	0	0	38	47	0	0	0	14	0	0	0	0	0	19	0	0	11	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1520"	0	0	0	0	35	62	0	0	0	0	34	0	0	0	45	0	0	0	42	73	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1521"	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	30	0	0	0	0	33	0
"OTU_1522"	17	0	0	0	0	0	0	0	0	0	0	75	0	0	59	0	0	0	0	0	57	0	0	0	19	0	0	0	0	58	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1523"	0	24	0	0	0	0	0	54	0	0	0	0	0	0	26	0	0	0	33	0	0	0	16	0	55	0	0	0	0	0	0	0	0	61	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1524"	0	0	0	0	57	0	0	50	0	0	16	86	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	38	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1525"	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	42	18	0	0	0	0	0	0	0	40	0	0	24	0	28	0	0	0	0	0	42	0	21	25	0	0	0	0	0	0	10	0	0	0
"OTU_1526"	0	43	0	0	0	0	36	0	0	0	0	0	0	32	0	0	51	0	39	0	0	0	46	0	22	0	0	0	0	0	0	0	0	29	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1527"	0	0	0	0	0	0	19	49	0	0	0	0	0	74	30	0	0	0	0	0	0	0	0	0	48	0	0	0	42	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1528"	35	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1529"	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1530"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	44	44	0	30	0	36	0	0	69	0	10	0	0
"OTU_1531"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	81	0	105	40	0	0	0	0	45	0	0	0	0	0
"OTU_1532"	16	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	25	0	0	0	37	0	0	0	0	0	0	0	30	0	0	0	59	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0
"OTU_1533"	0	52	0	0	0	0	34	0	0	0	0	69	0	0	40	0	0	0	0	40	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1534"	50	61	0	53	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1535"	25	0	0	0	0	0	0	0	0	0	0	77	0	0	51	0	0	0	0	0	49	0	0	0	30	0	0	0	0	66	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1536"	0	0	0	0	57	0	0	0	0	0	30	87	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	39	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1537"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	66	30	0	0	50	36	0	0	0	27	0	0	42	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1538"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	51	0	0	0	0	0	0	0	0	34	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	64
"OTU_1539"	30	0	0	22	0	40	0	0	0	0	0	0	0	0	0	0	27	0	34	0	0	0	0	0	46	0	19	0	0	26	0	0	0	31	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1540"	0	65	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	37	0	0	38	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1541"	0	0	0	25	0	0	0	42	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	26	0	0	0	0	0	0	45	0	0	49	43	0	0	0	0	0	0	22	0
"OTU_1542"	0	0	0	17	0	0	0	0	0	0	0	78	0	0	51	0	22	39	0	0	53	0	0	0	35	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1543"	0	0	0	0	68	0	16	0	0	0	0	0	0	84	0	0	0	0	0	41	0	0	0	0	37	0	25	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1544"	0	0	0	0	0	0	0	55	0	0	0	0	0	69	0	0	0	0	53	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	66	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1545"	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1546"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	76	0	0	0	0	26	0	28	0	0	34	0	0	0	0	0	0	0
"OTU_1547"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	32	0	65	0	0	0	0	0	0	0	0	0	61
"OTU_1548"	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	54	37	29	0	0	0	42	0	0	0	0	0	0	0	0	0	31	0	33	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1549"	7	36	0	35	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	70	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0
"OTU_1550"	0	0	0	25	0	0	0	0	0	0	0	0	30	0	0	0	0	0	42	0	0	0	0	0	31	0	0	36	59	0	0	0	0	44	0	18	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1551"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	18	0
"OTU_1552"	22	35	21	31	0	26	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	40	0	0	0	26	48	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1553"	17	0	0	0	26	21	0	28	0	0	0	25	0	0	55	0	0	0	0	0	16	0	62	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1554"	0	19	0	23	0	33	35	0	0	0	0	0	0	0	0	0	0	0	40	14	0	0	24	0	80	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1555"	0	0	0	50	0	0	0	0	0	0	0	16	0	0	0	0	0	0	28	0	0	0	43	26	30	0	0	0	0	0	59	0	0	0	0	38	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1556"	0	0	0	0	0	52	29	0	0	0	0	0	0	0	18	0	0	0	84	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	62	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1557"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	102	0	0	0	0	0	0	64	0	0	37	0	0	0	0	73	0	0	0	0
"OTU_1558"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	24	0	73	0	42	0	46	0	0	0	0	0	26	0	0	0	0
"OTU_1559"	82	0	0	12	0	0	10	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	41	0	0	0	18	52	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1560"	0	48	0	33	0	47	0	0	19	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	29	0	13	29	25	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1561"	0	0	0	34	0	22	0	28	0	0	0	0	0	0	25	0	0	0	64	0	0	0	0	0	13	0	0	0	0	0	0	0	0	39	0	42	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1562"	0	0	0	0	0	0	44	0	0	0	37	0	0	0	0	0	0	71	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1563"	0	0	49	0	34	44	21	0	0	0	0	0	16	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1564"	0	0	15	0	0	0	0	0	0	0	0	146	0	20	20	0	0	14	0	19	39	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1565"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	66	0	0	45	0	30	0	45	0	56	0	0	0	0	0	43	0	0	0	0
"OTU_1566"	28	0	0	0	0	0	0	0	0	0	54	25	0	55	0	0	0	0	0	30	0	0	0	0	56	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1567"	0	26	29	61	0	0	30	0	0	0	0	32	0	0	23	0	0	0	0	47	0	0	0	0	38	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1568"	0	0	50	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	24	63	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
"OTU_1569"	0	0	0	22	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	53	0	31	0	0	0	0	0	0	0	0	51	0	77	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1570"	0	0	0	0	29	43	20	0	0	0	0	0	0	0	42	0	0	0	83	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1571"	31	65	0	0	0	0	0	0	0	0	0	0	0	0	25	0	58	0	0	0	0	0	0	0	13	0	0	25	27	0	0	0	0	30	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1572"	0	90	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	71	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	36	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1573"	15	21	0	35	0	0	63	0	0	0	0	15	0	0	23	0	43	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1574"	47	0	0	0	0	0	0	0	0	0	0	26	0	0	50	0	0	0	31	0	0	0	0	70	46	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
"OTU_1575"	22	0	0	27	0	31	41	15	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	17	0	29	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1576"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	30	55	101	0	0	0	0	0	33	0	0	27	0	0	0	0	28	0	0	0	0	0
"OTU_1577"	31	0	0	47	0	0	0	0	0	0	18	76	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1578"	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	38	27	0	0	58	45	0	36	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1579"	0	0	0	53	0	0	25	0	0	0	10	0	0	0	21	0	0	0	47	0	31	0	0	15	13	0	0	0	0	0	0	0	0	0	0	62	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1580"	0	0	0	0	0	45	56	0	0	0	0	0	0	0	0	0	36	0	0	0	24	0	0	0	19	0	50	34	0	0	0	28	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1581"	23	0	0	48	0	0	0	0	0	0	0	0	0	0	100	0	20	0	0	0	0	0	0	0	0	42	0	0	49	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1582"	0	23	0	0	53	0	0	0	0	0	0	28	29	0	37	0	0	0	42	0	0	0	0	0	0	0	0	0	16	0	0	0	0	41	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1583"	0	0	0	0	0	0	27	0	0	0	0	0	56	0	23	0	0	0	103	0	0	26	0	0	0	0	0	0	12	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1584"	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	32	0
"OTU_1585"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	41	39	90	0	0	0	0	0	28	0	0	19	0	0	0	0	47	0	0	0	0	0
"OTU_1586"	41	0	0	35	0	0	28	14	0	0	0	29	0	0	58	0	0	0	0	0	0	0	0	0	41	16	0	15	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1587"	25	23	0	47	0	0	0	0	39	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	31	44	0	27	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
