OTUs	"SRR17152824"	"SRR17152825"	"SRR17152826"	"SRR17152827"	"SRR17152828"	"SRR17152829"	"SRR17152830"	"SRR17152831"	"SRR17152832"	"SRR17152833"	"SRR17152834"	"SRR17152835"	"SRR17152836"	"SRR17152837"	"SRR17152838"	"SRR17152839"	"SRR17152840"	"SRR17152841"	"SRR17152842"	"SRR17152843"	"SRR17152844"	"SRR17152845"	"SRR17152846"	"SRR17152847"	"SRR17152848"	"SRR17152849"	"SRR17152850"	"SRR17152851"	"SRR17152852"	"SRR17152853"	"SRR17152854"	"SRR17152855"	"SRR17152856"	"SRR17152857"	"SRR17152858"	"SRR17152859"	"SRR17152860"	"SRR17152861"	"SRR17152862"	"SRR6927699"	"SRR6927700"	"SRR6927701"	"SRR6927702"	"SRR6927703"	"SRR6927704"	"SRR6927705"	"SRR6927706"	"SRR6927707"	"SRR6927708"	"SRR6927709"	"SRR6927710"	"SRR6927711"	"SRR6927712"	"SRR6927713"	"SRR6927714"	"SRR6927715"	"SRR6927716"	"SRR6927717"	"SRR6927718"	"SRR6927719"	"SRR6927720"	"SRR6927721"	"SRR6927722"	"SRR6927723"	"SRR6927724"	"SRR6927725"	"SRR6927726"	"SRR6927727"	"SRR6927728"
"OTU_11"	466	125	113	122	584	42	815	41	387	52	61	0	41	289	17	111	26	408	457	181	1929	45	167	1575	153	1244	754	149	17	1554	88	86	33	89	150	381	38	1564	38	422	30	653	215	675	129	373	398	112	944	5894	539	754	863	300	77	967	96	598	564	724	500	257	445	1055	610	833	0	487	545
"OTU_12"	350	135	109	106	598	16	885	58	320	31	43	0	26	138	12	130	39	311	301	184	2251	22	95	952	79	610	702	120	20	1587	88	144	49	80	169	319	30	1484	43	468	53	700	175	685	128	346	426	120	1079	6477	547	729	876	322	82	1047	77	749	529	803	491	261	437	1047	664	795	0	468	545
"OTU_13"	319	165	128	119	766	40	993	44	213	14	29	0	21	147	22	113	16	452	501	270	1820	0	108	1452	148	1180	865	180	0	1309	68	53	25	63	139	425	37	2095	23	392	40	570	166	578	136	324	361	107	844	5539	512	622	789	243	88	791	81	558	553	670	392	258	394	951	573	699	0	378	508
"OTU_14"	230	170	94	158	739	47	941	24	205	18	25	0	15	61	23	144	20	327	488	301	2014	0	51	737	98	629	1049	197	0	1525	74	53	28	85	151	363	31	2006	17	430	44	638	190	672	122	268	386	94	936	5753	540	618	900	319	81	922	75	624	571	701	487	220	382	992	618	688	0	413	528
"OTU_15"	405	151	112	121	572	45	561	40	245	19	37	0	17	74	19	139	26	264	264	116	1976	0	79	786	58	603	871	156	0	2106	130	139	38	73	184	365	47	1244	32	423	47	624	172	657	139	338	405	126	948	6080	547	668	892	332	93	956	84	700	554	769	439	255	434	1042	612	751	0	436	524
"OTU_16"	513	138	72	101	580	36	562	26	258	17	40	0	18	145	24	129	29	376	292	123	1940	0	150	1465	104	943	782	164	0	1827	98	119	54	67	179	351	38	1435	48	462	61	573	166	605	115	353	332	105	897	5666	564	648	840	275	87	827	76	615	572	693	427	268	394	940	619	755	0	409	505
"OTU_17"	256	265	93	125	710	37	554	22	152	0	27	0	11	22	37	117	44	384	449	274	2054	0	37	662	59	442	1008	182	0	1657	80	137	46	68	129	540	40	1690	25	430	68	578	191	571	110	337	302	100	808	5187	467	637	724	259	63	803	74	545	480	680	418	253	336	885	530	620	0	381	468
"OTU_18"	319	225	84	124	715	35	583	17	108	0	15	0	13	30	34	100	44	366	473	291	2004	0	107	1235	130	804	942	181	0	1639	69	67	54	71	107	458	70	1807	25	375	51	536	137	562	102	330	281	69	775	4951	462	605	634	203	76	704	77	551	509	657	409	203	327	872	515	587	0	337	451
"OTU_19"	343	170	100	131	688	40	776	48	177	0	29	0	34	84	38	112	0	308	344	193	1621	0	135	1487	119	1035	693	132	15	1228	65	67	28	67	104	376	16	1427	26	409	44	557	180	531	109	259	309	94	759	5150	446	645	751	244	58	769	62	553	534	681	380	200	378	943	521	663	31	366	472
"OTU_20"	250	142	81	93	611	38	690	15	197	0	51	0	12	64	11	108	0	214	315	201	1860	0	59	734	88	546	918	100	16	1327	49	62	20	68	92	376	30	1307	38	414	57	544	139	648	107	308	315	97	846	5476	518	672	800	275	91	806	86	588	495	620	381	172	324	897	552	634	75	371	464
